class_id,course_code,professor,day,time
41519,BME 323,Tianqi Hang,Mon ,19:00
41524,BME 323,Tianqi Hang,Wed ,19:00
41522,BME 333,Thomas Christiani,Fri,09:30
42667,BME 333,Thomas Christiani,Fri,14:00
42670,BME 343,Anthony Lau,Mon Thurs ,12:30
42668,BME 343,Anthony Lau,Mon Thurs ,14:00
42671,BME 343,Anthony Lau,Wed ,09:00
42669,BME 343,Anthony Lau,Wed ,10:00
41520,BME 350,Constance Hall,Tues Fri,14:00
42672,BME 350,Constance Hall,Tues Fri,11:00
41517,BME 371,Brett Busha,Mon Thurs ,08:00
42677,BME 371,Brett Busha,Mon Thurs ,09:30
42678,BME 470,David Gabrieli,Tues Thurs ,17:30
42679,BME 470,David Gabrieli,Tues ,16:30
41521,BME 480,Brett Busha,Mon Thurs ,12:30
42245,BME 496,Christopher Wagner,Wed ,10:00
40042,BUS 100,Mary Lehr-Furtado,Wed ,10:00
40043,BUS 100,Mary Lehr-Furtado,Wed ,11:00
40025,BUS 200,Susanna Monseau,Mon Thurs ,09:30
40026,BUS 200,Susanna Monseau,Mon Thurs ,11:00
40027,BUS 200,Andrea Jacobs,Mon Thurs ,12:30
40030,BUS 200,Kevin Michels,Tues Fri,09:30
40032,BUS 200,Christine Schnarr Chiarello,Tues Fri,09:30
40034,BUS 200,Lewis Scheindlin,Tues Fri,11:00
40036,BUS 200,Lewis Scheindlin,Tues Fri,13:30
40044,BUS 200,Thaddeus Mikulski,Tues Thurs ,17:30
40047,BUS 200,Leonard Sprishen,Wed ,18:00
40033,BUS 325,Nancy Lasher,Mon Thurs ,09:30
40045,BUS 360,Susanna Monseau,Mon Thurs ,14:00
40041,BUS 375,Kevin Michels,Tues Fri,11:00
40225,BUS 385,Kevin Michels,Tues Fri,14:00
40029,BUS 498,David Prensky,Mon Thurs ,14:00
40035,BUS 498,Jeffrey Leventry,Mon ,17:30
40039,BUS 498,Patrick Wheeler,Thurs ,17:30
40040,BUS 498,James Requa,Tues ,17:30
40048,BUS  99,Tammy Dieterich,Fri,12:30
41764,CHE 201,Benny Chan,Mon Wed ,17:30
41765,CHE 201,Benny Chan,Mon ,19:00
41787,CHE 201,Benny Chan,Wed ,19:00
41772,CHE 201,Donna Bassolino,Mon Thurs ,09:30
41773,CHE 201,Donna Bassolino,Mon ,12:30
42135,CHE 201,Donna Bassolino,Thurs ,12:30
42136,CHE 201,Carolyn Supplee,Tues Thurs ,17:30
42137,CHE 201,Carolyn Supplee,Tues ,19:00
42138,CHE 201,Carolyn Supplee,Thurs ,19:00
42139,CHE 201,Marc Brescia,Tues Fri,14:00
